Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
14-010-CC	0.319321	0.362482	0.41938	0.47237	0.522299	0.569601	0.613384	0.657222	0.700553	0.7326	0.767105	0.798288	0.836921	0.874842	0.903445	0.92773	0.947487	0.956648	0.953365	0.969354	0.990402	1.006886	1.022699	1.036933	1.043028	1.05286	1.064517	1.07398	1.088982	1.089126	1.098247	1.107354	1.102739	1.10454	1.113447	1.124323	1.12457	1.127445	1.137518	1.140654	1.143592	1.155891	1.165191	1.167608	1.173805	1.176674	1.179803	1.180763	1.185923	1.188209	1.186007	1.181726	1.181705	1.182782	1.18878	1.185196	1.188882	1.18969	1.189316	1.188078	1.189296	1.19454	1.195398	1.200378	1.199645	1.197758	1.189527	1.186135	1.183455	1.17989	1.172443	1.160703	1.154296	1.146771	1.135929	1.126271	1.115661	1.103869	1.09617	1.091237	1.080452	1.073238	1.061831	1.047314	1.029882	1.006532	0.974483	0.953405	0.936454	0.914607	0.893507	0.859531	0.827015	0.791527	0.746039	0.697059	0.655666	0.615701	0.564903	0.510598	0.467236
14-015-CC	0.327942	0.370933	0.424928	0.475477	0.524802	0.57048	0.613636	0.65764	0.70135	0.740878	0.772698	0.800857	0.834825	0.870675	0.896945	0.919252	0.93694	0.945701	0.949838	0.965133	0.985369	0.99915	1.009607	1.023075	1.032398	1.042261	1.051517	1.063138	1.075997	1.075066	1.081355	1.093013	1.090984	1.097874	1.111355	1.122216	1.125568	1.125686	1.13803	1.140545	1.143063	1.149592	1.154368	1.156737	1.162324	1.165644	1.16909	1.168886	1.175677	1.176548	1.175395	1.174851	1.175068	1.177249	1.182339	1.181133	1.186538	1.185716	1.180664	1.177536	1.177905	1.180667	1.179786	1.185125	1.183483	1.180686	1.174619	1.175118	1.175156	1.170114	1.167029	1.151272	1.146548	1.141529	1.134404	1.12572	1.114854	1.101694	1.097777	1.092062	1.083293	1.079026	1.070453	1.058001	1.043081	1.024792	0.996977	0.97805	0.958289	0.935319	0.912866	0.879906	0.851222	0.816336	0.779258	0.736507	0.693591	0.655907	0.606563	0.551207	0.509622
14-015-GFM	0.342315	0.381292	0.429549	0.478998	0.52429	0.570127	0.613377	0.654503	0.693068	0.722322	0.753162	0.783582	0.816218	0.854218	0.885559	0.908455	0.927334	0.941829	0.953697	0.974487	0.992074	1.006317	1.015728	1.030664	1.042617	1.054143	1.062095	1.072918	1.087665	1.090146	1.095568	1.11091	1.111493	1.122617	1.137364	1.147583	1.150545	1.152384	1.162709	1.165473	1.173288	1.182012	1.188717	1.194981	1.20007	1.199796	1.199028	1.196068	1.20025	1.20095	1.195978	1.199132	1.198175	1.195508	1.198118	1.19337	1.194766	1.193636	1.187989	1.187861	1.188186	1.18866	1.180584	1.181009	1.179915	1.175144	1.169197	1.167304	1.165099	1.158347	1.15361	1.138163	1.129841	1.119318	1.112834	1.106362	1.095737	1.086095	1.083828	1.078525	1.066919	1.059143	1.045725	1.033108	1.01298	0.99332	0.965206	0.943931	0.925091	0.903903	0.87977	0.847432	0.817152	0.784899	0.750057	0.711662	0.673002	0.641458	0.600856	0.55751	0.520335
14-015-GTS	0.335406	0.374787	0.42678	0.476419	0.524197	0.573936	0.620058	0.65926	0.700524	0.734198	0.766824	0.798728	0.832663	0.868856	0.898482	0.9218	0.939837	0.947602	0.94428	0.963325	0.973888	0.987167	1.005052	1.019751	1.029529	1.040656	1.051129	1.062513	1.078083	1.079828	1.085328	1.100177	1.100821	1.108651	1.119193	1.131583	1.136149	1.134847	1.143899	1.147932	1.153597	1.157464	1.16434	1.167338	1.175846	1.179472	1.176471	1.173163	1.18057	1.182936	1.185905	1.188414	1.191238	1.19619	1.202748	1.200196	1.204024	1.205004	1.198632	1.195348	1.193885	1.189421	1.18482	1.184655	1.18319	1.178446	1.172878	1.171011	1.173308	1.176632	1.175734	1.161453	1.156594	1.151789	1.143174	1.133689	1.120432	1.107306	1.110117	1.100329	1.089112	1.082836	1.070021	1.051992	1.028426	1.007023	0.977352	0.953507	0.936938	0.916049	0.891241	0.854893	0.820194	0.78557	0.747178	0.702698	0.660092	0.623308	0.575898	0.52558	0.483962
14-029-CC	0.304452	0.346093	0.397432	0.445244	0.491972	0.538569	0.587491	0.630708	0.672956	0.708334	0.741308	0.77199	0.809125	0.84951	0.877012	0.901177	0.920314	0.933992	0.944346	0.962868	0.983423	1.002302	1.022587	1.038975	1.051472	1.062429	1.071269	1.087184	1.105128	1.109449	1.114161	1.124762	1.121699	1.122654	1.133822	1.143518	1.143696	1.14414	1.153701	1.155639	1.161965	1.170262	1.178928	1.184162	1.188299	1.188308	1.191493	1.189071	1.19527	1.198981	1.197543	1.195607	1.195686	1.19771	1.201457	1.200238	1.203419	1.19987	1.197865	1.195147	1.195935	1.197068	1.194932	1.19479	1.194046	1.190438	1.184726	1.181614	1.179223	1.174157	1.167748	1.156818	1.152368	1.145311	1.137183	1.12943	1.117873	1.105598	1.10101	1.09394	1.077526	1.066821	1.05319	1.039552	1.019634	0.997242	0.964646	0.944157	0.926412	0.903209	0.878226	0.846133	0.816084	0.783723	0.750287	0.709074	0.669472	0.633537	0.591203	0.541844	0.502182
14-029-GFM	0.328853	0.369721	0.416917	0.462073	0.509872	0.558714	0.606452	0.649933	0.691045	0.7265	0.7564	0.782669	0.814097	0.845071	0.867236	0.888111	0.908729	0.920343	0.931215	0.948115	0.965888	0.983011	1.006589	1.023469	1.036966	1.04839	1.059589	1.07272	1.086514	1.091818	1.099827	1.109805	1.107824	1.111837	1.125348	1.138983	1.14286	1.145741	1.155932	1.163635	1.172271	1.184518	1.189362	1.189631	1.195847	1.197548	1.196613	1.193861	1.198828	1.198992	1.195838	1.195768	1.194281	1.188427	1.190912	1.187136	1.192964	1.192971	1.188451	1.184041	1.179254	1.177111	1.174019	1.169676	1.169535	1.165021	1.160046	1.154826	1.152032	1.147053	1.142229	1.133466	1.131173	1.120676	1.112071	1.104722	1.093889	1.085721	1.085814	1.081016	1.073163	1.067852	1.058021	1.044454	1.028717	1.007533	0.980713	0.958551	0.944725	0.925622	0.901809	0.871343	0.843488	0.816846	0.786597	0.753889	0.716956	0.683782	0.643405	0.601664	0.564254
14-029-GTS	0.34754	0.390838	0.443564	0.493039	0.541964	0.593304	0.644635	0.685155	0.724047	0.757355	0.785369	0.808796	0.838275	0.867144	0.888203	0.906432	0.924884	0.936502	0.943124	0.959226	0.976474	0.99364	1.009291	1.022609	1.034087	1.045421	1.056029	1.072291	1.090014	1.097418	1.104177	1.113795	1.112506	1.116485	1.126694	1.138348	1.142154	1.143731	1.152059	1.158215	1.165781	1.177879	1.180764	1.177067	1.179207	1.179687	1.178872	1.17466	1.176355	1.176915	1.174037	1.174716	1.170937	1.169556	1.171064	1.17054	1.175722	1.17395	1.16949	1.168645	1.169612	1.167163	1.162785	1.159659	1.157471	1.151177	1.144972	1.142483	1.143478	1.140914	1.136322	1.130288	1.128062	1.119535	1.116823	1.110196	1.098722	1.089439	1.088061	1.08233	1.073129	1.067221	1.056779	1.042915	1.029202	1.010653	0.984066	0.963185	0.949619	0.929059	0.904776	0.872389	0.84106	0.814371	0.782807	0.747438	0.708472	0.672385	0.627197	0.577014	0.534489
14-043-GFM	0.341396	0.387771	0.441609	0.487685	0.535518	0.581213	0.632608	0.672182	0.711437	0.749577	0.777403	0.803516	0.838911	0.87036	0.890908	0.908274	0.924596	0.939729	0.94905	0.972649	0.989903	1.004842	1.016761	1.02565	1.035022	1.045629	1.058439	1.068021	1.080111	1.08637	1.090849	1.098478	1.096493	1.094335	1.101031	1.111203	1.112736	1.11894	1.127955	1.132245	1.145532	1.158104	1.165225	1.164416	1.168842	1.163174	1.164602	1.164365	1.169161	1.171235	1.171452	1.172762	1.171086	1.166717	1.163499	1.161625	1.166112	1.163187	1.156014	1.158726	1.162374	1.160436	1.156778	1.153677	1.148666	1.141861	1.139192	1.141583	1.142391	1.141559	1.143103	1.14088	1.150593	1.157172	1.151057	1.142044	1.11705	1.102166	1.09731	1.095788	1.084225	1.076157	1.063347	1.047483	1.034483	1.017581	0.990916	0.968847	0.955675	0.936136	0.915771	0.884856	0.857578	0.829333	0.800333	0.774894	0.741087	0.710943	0.665491	0.610942	0.560652
14-043-GTS	0.337047	0.3716	0.414303	0.450997	0.492382	0.536731	0.580777	0.620378	0.659519	0.694577	0.719563	0.739164	0.768577	0.801381	0.825395	0.84652	0.864543	0.874365	0.88774	0.915519	0.935027	0.950743	0.966982	0.980403	0.994315	1.009448	1.020534	1.030194	1.042503	1.048713	1.05578	1.067255	1.069963	1.073093	1.082339	1.095555	1.102823	1.106998	1.115768	1.11676	1.124226	1.135738	1.140432	1.143025	1.151258	1.155002	1.159013	1.163685	1.172332	1.174807	1.175255	1.177736	1.180006	1.181203	1.185493	1.183988	1.184225	1.181294	1.173938	1.173521	1.176509	1.178233	1.17427	1.1688	1.162574	1.157033	1.154995	1.154476	1.154056	1.153365	1.154807	1.156457	1.172001	1.184459	1.182895	1.180354	1.154354	1.141701	1.142899	1.136871	1.125102	1.118518	1.109968	1.098658	1.086058	1.070716	1.045537	1.02917	1.021143	1.008496	0.991323	0.956647	0.928663	0.900225	0.86524	0.827858	0.786764	0.752161	0.703663	0.657221	0.620382
14-046-CC	0.344455	0.383774	0.427563	0.479469	0.526819	0.569898	0.610402	0.650353	0.689434	0.722639	0.754853	0.785935	0.824372	0.863612	0.892697	0.914686	0.931138	0.947392	0.950894	0.965729	0.98486	0.998045	1.009063	1.022643	1.037863	1.04766	1.060148	1.072506	1.085517	1.081601	1.08748	1.10004	1.098546	1.100052	1.110246	1.120197	1.121444	1.126146	1.137675	1.140252	1.147393	1.155196	1.162118	1.167755	1.173716	1.173524	1.174702	1.172719	1.178671	1.17995	1.180993	1.180578	1.17724	1.17525	1.172841	1.171003	1.173982	1.172443	1.171138	1.168998	1.172167	1.174119	1.171269	1.169093	1.166208	1.165838	1.162154	1.163938	1.163963	1.158235	1.153822	1.147503	1.145858	1.142562	1.13745	1.131109	1.119173	1.1093	1.104664	1.097147	1.082291	1.073182	1.063411	1.050863	1.035486	1.016777	0.988326	0.970714	0.958921	0.940324	0.921318	0.891995	0.862728	0.830735	0.793858	0.751765	0.710446	0.671414	0.621247	0.564991	0.521729
