Sample	Coding	UTR	Intronic	Intergenic	Ribosomal	PF not aligned
16-065-GFM	3723855702.0	2124048457.0	728546802.0	233079434.0	256722327.0	285120424.0
16-065-GTS	3791344583.0	2089136503.0	637088888.0	206946570.0	632528029.0	406496445.0
16-065-SVZ	3484789652.0	1903031152.0	826103862.0	498676086.0	176294380.0	233113250.0
16-065-THA	2708667479.0	1729050887.0	1058151888.0	426874716.0	212705453.0	231881493.0
16-067-GFM	1365932503.0	964242150.0	2947685248.0	1628404766.0	117576348.0	331771080.0
16-067-GTS	2372521410.0	1732389104.0	5152103310.0	2524982569.0	186170173.0	486785023.0
16-067-THA	1735155001.0	1229239424.0	4161005399.0	2378544163.0	121326388.0	442104342.0
16-078-GFM	4987577063.0	2748496061.0	1491928855.0	579997855.0	180303067.0	256524683.0
16-078-GTS	4199725048.0	2227215461.0	1287325777.0	596095905.0	195601357.0	231538481.0
16-078-THA	5840868058.0	3365033690.0	932593932.0	332683368.0	285245891.0	380457597.0
16-080-GFM	2659919849.0	1886264453.0	1773589128.0	899859144.0	330923876.0	280929245.0
16-080-GTS	2886855136.0	1971790093.0	1784043298.0	851230810.0	472241898.0	287859964.0
16-080-SVZ	4774884351.0	2265131814.0	614400775.0	311803176.0	139229767.0	271528869.0
16-080-THA	5275862800.0	3299721804.0	1431506330.0	626638486.0	779754551.0	1051505978.0
16-082-SVZ	1763853029.0	1153640008.0	2810517600.0	1668084252.0	199499637.0	350745205.0
16-102-GFM	2705944639.0	1638277976.0	1447565171.0	666598058.0	663045113.0	458893634.0
16-110-GFM	1559841551.0	1061537920.0	2346159030.0	1432486100.0	291627749.0	368581331.0
16-110-GTS	612094318.0	486234530.0	2718252508.0	1943118449.0	78845413.0	306366741.0
16-110-SVZ	2762767246.0	1726939098.0	1228272971.0	977537656.0	610630948.0	475847277.0
16-110-THA	1717395171.0	1053220647.0	1274952312.0	932266606.0	380707264.0	335258097.0
16-111-GFM	2350784562.0	1194758974.0	1339916946.0	1053772184.0	910689043.0	730543941.0
16-111-GTS	2039700633.0	362279168.0	290737751.0	223874616.0	2292321755.0	1074413916.0
16-111-SVZ	4160945150.0	2044160807.0	851953016.0	273433973.0	299758329.0	252683372.0
